# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
9
BLANK_GEOMS,2
# Name, xLoc, yLoc, zLoc, Mass, GeomID
PropellerWeight,-18.528805,0.000000,0.779014,135.000000,ABQPEAUUHI
EngineWeight,-13.028805,0.000000,0.629014,289.000000,AREVMRZCAD
# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,TPMBBMLWPQ,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -1.788043478260869534e+01, 0.000000000000000000e+00, 7.608695652173906865e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,34,17
# x,y,z,u,w
-1.705340775558166655e+01, -7.069681341850664325e-01, 1.467837699402457119e+00, 2.000000000000000000e+00, 2.500000000000000000e+00
-1.705340775558166655e+01, -3.890891509581997920e-01, 1.682232615536790599e+00, 2.000000000000000000e+00, 2.750000000000000000e+00
-1.705340775558166655e+01, 5.135813185032628656e-34, 1.760869565217390909e+00, 2.000000000000000000e+00, 3.000000000000000000e+00
-1.705340775558166655e+01, 3.890891509581997365e-01, 1.682232615536790599e+00, 2.000000000000000000e+00, 3.250000000000000000e+00
-1.705340775558166655e+01, 7.069681341850664325e-01, 1.467837699402457119e+00, 2.000000000000000000e+00, 3.500000000000000000e+00
-1.705340775558166655e+01, 9.213630503193999122e-01, 1.149958716175590423e+00, 2.000000000000000000e+00, 3.750000000000000000e+00
-1.705340775558167010e+01, 1.000000000000000000e+00, 7.608695652173906865e-01, 2.000000000000000000e+00, 4.000000000000000000e+00
-1.635758791104258592e+01, 1.113191471748071537e+00, 7.496375652173906667e-01, 2.200000000000000178e+00, 0.000000000000000000e+00
-1.635772997166868237e+01, 1.026956529372837768e+00, 3.167642125457836300e-01, 2.200000000000000178e+00, 2.500000000000000000e-01
-1.635796677868687254e+01, 7.899065706797282482e-01, -3.815875756320292328e-02, 2.200000000000000178e+00, 5.000000000000000000e-01
